,match,slot,text,Positivity,Team_Work,Sportsmanship,Spam,Toxic,Report_Misuse,Neutral
0,1,0,"twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel",,,,1,,,
1,2,0,fast and furious,,,,,,,1
2,2,4,COMMEND ME TY,,,,1,,,
3,3,6,CNHD ,,,,,,,1
4,4,5,report troll,,,,,,,1
5,6,0,passive shadow blade ,,,,,,,
6,6,1,"fucking reported axe, WORST HOOK IN HISTORY, IM THE  1 ROAMER NA, Ty ty , COMMEND ME , COMMAND ME  ",,,,,1,1,
7,6,2,what is the best soup ,,1,,,,,
8,6,8,sorry nex,,1,,,,,
9,6,9,why axe is raping me top ,,1,,,1,0,
10,8,6,"swap commend ty, swap commend ty",,,,1,,,
11,9,3,"what, free farming ls, not coming into play, storm fat yet, U useless anyways, cant seem to hit singel call, better share hero contorl, might start hitting ur Q, he had an, 20mins scythe on od, wants to farm, His orchid",,1,,,1,,
12,9,4,"heartshaker, man that silence on axe",1,,1,,,,
13,9,5,CLASH,,,,,,,1
14,9,7,my storm also cry,,,,,,,1
15,13,0,ty pudge,1,1,1,,,,
16,13,1,bastard party,,,,,,,
17,19,6,3 griefers on my team,,,,,1,,
18,21,9,WELL PLAYED SHIT CUNTS,,,1,,1,,
19,22,0,already since the picking phase,,,,,,,1
20,22,1,"feed me, please dont be trap, EE SAMA IS HERE",,1,,,,,
21,22,6,"happy no cour day , only me ",,,,,,,1
22,24,0,this storm,,,,,,,
23,25,1,CAUSE FO FUCKING HG,,,,,1,,
24,26,5,u wouldhave hit the throne jebaited 2k,,,,,1,,
25,26,7,"why have juger , cant beleive we lsoe this ",,,,,,,
26,27,3,GJNJVE XNJ JL DFC YFT SDFK GJK BUHS,,,,,,,1
27,30,1,fuck off lol,,,,,1,,
28,30,7,and please  don fight  just play and be happy ,1,,1,,,,
29,31,3,"this game, will be year ender, this will be the last game played in 2017",,,,,,,
30,31,4,happy new year,1,,,,,,
31,31,6,happy new year,1,,,,,,
32,31,9,"FCK U, my teammates",,,,,1,,
33,32,5,what luck,,,,,,,
34,32,9,"help report wind ty, pasive thrd , 4 heros were stick, passive heross here, pls pic ksupport, help reprt wind",,,,,,1,
35,33,9,"he is troller, that team",,,,,,,
36,35,8,because have blink ,,,,,,,1
37,36,0,this is kotl from last game  can you just let us finish ,,,,,,,1
38,36,1,cool,1,,,,,,1
39,38,5,"can win with wr support and invoker offlane, report this invoker",,,,,,1,
40,38,6,ty ,1,,,,,,
41,40,0,fking clock,,,,,1,,
42,40,2,"SLOW HAND TINKER, it definitely is gg",,,,,1,,
43,40,3,"counter more, counter more",,1,,,,,
44,40,5,"WTf , rofl",,,,,,,
45,40,6,divine for the win,,,,,,,
46,40,8,rofl,1,,,,,,
47,40,9,why am here,,,,,,,
48,43,3,"what happening boyz  , as you can see we are waiting , I am just asking what happened, how many more x3 mins do we have to wait, you don know how time works, you will have more gold if he leaves, If roll one, now you are lucky",,1,,,,,
49,43,4,"come on try harder, and we wait 5 for now , guys think we wait too much , i know its your fr but ",,1,,,,,
50,43,5,oh why wake me up,,,,,,,
51,43,6,"Dat was lucky, that was more lucky than ur kill   D, u see this fair  ",1,,,,,,
52,43,8,he will ,,,,,,,1
53,45,4,"https   www twitch tv vt_negative, https   www twitch tv vt_negative",,,,1,,,
54,45,8,"report sf and lycan, retard take lycan for hard , second rtard lose lane with help, dont forget report lycan and sf, next game can come to yours team",,,,,,1,
55,48,1,mana shield lvl 1,,,,,,,
56,48,5,"why so hot headed, just by looking at your set you are pro dude",1,,,,,,
57,48,7,wever is so sacred,,1,,,,,
58,51,1,"000000000 5   NICE FEDD, THIS SK OFF, NICE FEDDDD, SACRED RELIC SPECTRE  TY  SK, fED FED FED SK , fED FED ",,,,,1,,
59,51,2,commend team,,,,1,,,
60,51,4,REPORT TORO,,,,,,1,
61,51,5,turn off ur map hacks,,,,,,,
62,51,6,"who afk, this ES",,,,,,,1
63,52,3,"21 death, is it olympic games ",,,,,1,,
64,52,6,im suprised you havnt left already bristle,,,,,1,,
65,56,3,EWND TI,,,,,,,1
66,56,6,WHAT THE ACTUAL FUCK,,,,,1,,
67,63,8,china fire wall  ,,,,,,,
68,63,9,guys wtf is up,,,,,1,,
69,65,0,"report sf pleae, report sf pleeaes, please report sf ",,,,1,,1,
70,65,7,"really , why me    , that bug",,,,,,,
71,66,4,bombit,,1,,,,,
72,66,6,ff pls ,,1,,,,,
73,66,7,"bombit, CHMO",,,,,,,1
74,69,4,i will commend sniper if commend me too,,,,,,1,
75,69,5,commend ty,,,,1,,,
76,69,7,why run,,1,,,,,
77,69,8,has gem walked intio bomb ,,,,,,,
78,70,4,feed,,,,,1,,
79,71,0,comback is real,1,,,,,,
80,71,2,"alright alright, so whats ur new year resolutioin",1,,,,,,
81,71,7,"now he rolls, FUCK THIS PANGO, LOOK AT HIM, I WOULD HAVE KILL HIM",,,,,1,,
82,71,9,wombo combo,1,,,,,,
83,73,2,report wk,,,,,,1,
84,75,3,NOOB team,,,,,1,,
85,75,5,not coming back,,,,,1,,
86,76,1,my team,,,,,1,,
87,76,4,"apparently, the white snow, exactly",,,,,,,1
88,76,5,"and then, right",,,,,,,1
89,76,7,fucking axe retard cunt,,,,,1,,
90,79,4,happy new year,1,,,,,,
91,79,7,lag the fuck up,,,,,1,,
92,81,4,worth ,,,,,,,1
93,82,2,"then ded, why dont let me run, knife in csgo, im csgo player",,,,,,,1
94,82,4,"ur fucking cunt, by 1 ",,,,,1,,
95,82,5,"dat lich 2 kd ratio, called storm spirit m9, Support my ass senpai, Ima out to fuck, 2 carries to take down fukkin support, who tellin to chill nibba, miss me with that gay shit, but was all, called out, How tragic, and am support",,1,,,1,,
96,83,0,"hey rat, what does the rat say ",,,,,1,,
97,83,2,We from Makedonia  ,,,,,,,1
98,83,6,"well if you remuse it will be uncount map,     lol now pause, this trash russian, why not pause at first    , Worst country of the world, hey dog russians, cant win without cheating  , russian has their own server, trash russian, Bark sth plz, is that dog knows only barking  , Did you mother fuck dog to born you, russian tradition  , fuck dog to born  , why all russian are so dirty player, your country shame on you, that Russian dog, a dog cant bark and no brain, Hey BARKKKKKKK, Dont kill the dog, go fuck yourself xD bye bye dog",,,,,1,,
99,83,7,"little fairplay rusians shit, this is west server, y have rusan and east",,,,,,,
100,83,8,fuck mothers,,,,,1,,
101,87,5,fuck the game,,,,,1,,
102,87,6,fuck this shit nap team,,,,,1,,
103,87,7,cant play,,,,,,,
104,90,1,od apesta chancho,,,,,,,
105,90,5,aw you got silver edge for me,,,,,,,
106,91,3,reported Viper please,,,,,,1,
107,94,1,"space created , creeps outplaying you",,,,,,,
108,94,3,worth itÉ,,,,,,,
109,97,7,"no cour no wards jungle lc, kepp presure and win it fast",,,,,,,
110,97,8,the fan on low priority,,,,,,,
111,99,6,iyot is real,,,,,,,
112,100,7,slaid shou ,,,,,,,
113,100,9,its took 3 year,,,,,,,
114,102,0,she didn wait for enigma,,,,,,,
115,102,1,25 min of queue  20 minutes of disconnects  and 45 minutes of game,,,,,,,
116,102,4,oh now you want to pause    ,,,,,,,
117,102,6,DONT FORGET TO REPORT NAGA,,,,,,,
118,102,7,"that why they have turbo now, if he abondoned this game wont count, why, fuck this game, EZ TEAM, team reported and afk ",,,,,,,
119,102,8,"lets not forget 30 min of being called noob in russian  korean  and spanish, DOTA where everyone is cunt  regtardless of team",,,,,,,
120,103,4,"o, o",,,,,,,
121,107,0,she so hot,,,,,,,
122,107,1,take so long time to end,,,,,,,
123,107,5,"small id also pro like that, i will show the real sven, dun use small id to lie other ppl, make sure can kill me 1st",,,,,,,
124,107,7,its fat,,,,,,,
125,107,8,its not scored,,,,,,,
126,108,9,"she is dead anyway, lets stop when she is reviving",,,,,,,
127,109,7,"Thank for the laugh Lads, Commend Troll, Merry Christmas, He autistic",,,,,,,
128,111,8,"new meta es  blink for wat, we sure lose  but we never give up  we will def till the end, fucking hard game ever when got lucky timing skill on enemy, lol es  blink for wat",,,,,,,
129,112,1,"u popped his passive, which killed me",,,,,,,
130,112,4,"rofl, u dont know how to play",,,,,,,
131,112,6,"AHDFJOPFDAP HAFD, ASDHPJOAHFDJOP  ",,,,,,,
132,112,8,know how to zone the lane,,,,,,,
133,113,2,how top play,,,,,,,
134,113,9,"check this, cry bitch",,,,,,,
135,114,1,recomend pliz,,,,,,,
136,115,5,"holy shit, i gotta take some deep breathes, these guys",,,,,,,
137,115,6,"these bashes, their 2 stack was perfect aparently, pro tier plays, from the offlane",,,,,,,
138,115,8,"whining in chat, Whats wrong , This WK   , ez mid and top",,,,,,,
139,115,9,boring ass game,,,,,,,
140,118,1,i missed the hill,,,,,,,
141,118,3,rof,,,,,,,
142,118,6,what player,,,,,,,
143,120,3,"IDI NAXYU, CHERT",,,,,,,
144,121,1,"gotta love to see ur underlord now, instead of moving, 5 death, shes fine, they really think, puck can do anything, with his eul s, so its ok if feed, winter, thats it, this pa, u started man, this pa, to win mmr, and feels bad, ofc ez, u countered me",,,,,,,
145,121,4,"idk what teals talking abou, what the fuck, did play earlier, what the fuck, what world we live in, MAN URSA IS SUCH TALKER",,,,,,,
146,121,7,"let the faggot be happy with his imba hero counter, u actually that fucking bad ursa , or feed , do you realize wont win this game , how to change aggro  D, hows your mom ursa , she just told me about your baby sized dick, she is not 18 yet, high skill bash, if something, that is sad",,,,,,,
147,121,9,"u know that , TELL SOMEYHING, HOW YOUR ROSH, how you feel to loosing second game, for teammates, cant win game, from free farm, now pick counter vs me, and think are good, whatever, whatever, be happy, dota is all your life, whatyever",,,,,,,
148,123,1,"viper whats ur base dm, 1 by 1",,,,,,,
149,124,1,any suggest  best porn site ,,,,,,,
150,124,2,child porn or what  ,,,,,,,
151,124,3,pa is pedo btw,,,,,,,
152,124,4,mind topo ,,,,,,,
153,124,7,or do you want gay porn,,,,,,,
154,127,0,gg sry about ur lan internet,,,,,,,
155,127,1,"dont first blood me, aim other party memeber lel",,,,,,,
156,129,0,"can give me bracer back plz, okay thanks you",,,,,,,
157,129,8,but my teammates wont to kill 9 ,,,,,,,
158,130,2,farming lord AM,,,,,,,
159,130,8,thx for boot,,,,,,,
160,131,0,"report alche plz, report alche plz",,,,,,,
161,131,2,report alche,,,,,,,
162,131,3,REPORT ALCHE,,,,,,,
163,133,0,who ,,,,,,,
164,133,2,what boost lol,,,,,,,
165,133,5,"nice boost , you know you have guy at 16 0  , withh 600 avg gpm",,,,,,,
166,134,9,"wow got kill while 2v1, must chat all now, chat all, music to my ears, never chat all at early kids",,,,,,,
167,139,6,GG was fun,,,,,,,
168,140,2,CARRY U,,,,,,,
169,140,8,acc buyer,,,,,,,
170,141,9,put that wards,,,,,,,
171,145,1,you guys were winning early game,,,,,,,
172,145,5,fuck this team,,,,,,,
173,146,5,"scared of one fat guy , wombo comvo",,,,,,,
174,146,8,you fookin clown magnus,,,,,,,
175,146,9,at price of fb,,,,,,,
176,147,0,dickhead,,,,,,,
177,147,7,"ancient btw haHAA, base ",,,,,,,
178,147,8,"how are you so high mmr   , fiend bad btw haHAA, you guys know that you need creeps to hit buildings ",,,,,,,
179,147,9,YOU SUCK ME COCKY,,,,,,,
180,148,1,fedeare chato,,,,,,,
181,148,5,rompan con fe,,,,,,,
182,148,9,"techies matanme , please, please",,,,,,,
183,149,0,"REPORT MID, REPORT , REPORT MID, TU SALIR ",,,,,,,
184,149,4,"only that, please",,,,,,,
185,149,7,SPEC IN THE BAG ,,,,,,,
186,150,0,"techies makes the game boring, For everyone but one ",,,,,,,
187,150,4,techies go kill yourself,,,,,,,
188,150,5,please begging you ,,,,,,,
189,152,8,and ,,,,,,,
190,153,0,"where the fuck is snow, almost pooped myself xD, when burned mana",,,,,,,
191,153,1,"Nah just other route, Why did you leave Jugger all by himself ",,,,,,,
192,153,3,"was pleasure 1v4 mid though, worked out well",,,,,,,
193,153,6,"rotated 2 players top, and got to b, i never seen some1 lose mid that hard with sf, when we lost top tower sf was lvl 7",,,,,,,
194,153,8,sf is account buyer  x,,,,,,,
195,155,9,"oh right, true sight is 100 longer",,,,,,,
196,159,4,why,,,,,,,
197,160,4,switch off my cheats,,,,,,,
198,160,8,"playing with noob, finish fast",,,,,,,
199,160,9,"sto cheat ulty 0 dmg ss stop cheat, 0reaction team 0 def team 0 info team pls ff enmys, only cheat, stop cheat trool, ss to",,,,,,,
200,163,2,"calling emergency personnel, shadow fiend, i will burn you alive, yes with my ultimate fingering skill, sorry  was fingering your mum",,,,,,,
201,163,4,finger you to death,,,,,,,
202,163,8,i did not see finger me to death even once ,,,,,,,
203,165,2,"what, its only turbo, why are you so pissed, i really not  sry man, he has gone mad",,,,,,,
204,165,7,"IDC , UR HANDSOME WITH THAT  , FIGHT HIM HAHA, PROEST TA EVER, FUCK UR REFRACT LOL, IM PASSIVBE EHHE",,,,,,,
205,165,8,pro they,,,,,,,
206,166,2,"please dont kill me, im kinda learning here",,,,,,,
207,166,3,"script for what , there are scripts for enigma ",,,,,,,
208,166,6,nice cheat,,,,,,,
209,168,2,"damn  now they know there are 4 of them bot, they didn wait, how rude  right",,,,,,,
210,168,4,4 bot,,,,,,,
211,168,5,what kind of vision is this ,,,,,,,
212,168,8,he survived ,,,,,,,
213,169,0,"miss click, lol win game , ty pudge, suck my dick idito, dont follow me",,,,,,,
214,169,2,reported,,,,,,,
215,169,9,4what,,,,,,,
216,170,4,inviz can win the game   ,,,,,,,
217,172,4,please,,,,,,,
218,173,7,"ff plis, TA plis",,,,,,,
219,173,8,El rubick hase nice hock s,,,,,,,
220,174,0,you guys 3 top    but did not any use,,,,,,,
221,174,7,"they whine cuz bought midas, well  were we able to do shit ",,,,,,,
222,174,8,"WATCH this liion, man shut up already, and push",,,,,,,
223,177,2,"and bot, we lost all lanes",,,,,,,
224,177,5,"COMEND PLZ, AND JUNGLE, comend plz",,,,,,,
225,177,6,and roshan,,,,,,,
226,178,0,why am solo on top   9,,,,,,,
227,178,1,first pick,,,,,,,
228,178,3,hhe,,,,,,,
229,178,4,please wait,,,,,,,
230,179,5,wtf is with taht serwer,,,,,,,
231,180,1,its best for you to leave,,,,,,,
232,180,5,"delay shit, not at all, at some way ill be stuck ",,,,,,,
233,181,3,raport this shit OMNI,,,,,,,
234,181,8,"REPORT      TY, so reproterd TINY, PLZ ALL REPORT TINY SO HE RESPECT THE RANK MATCH    TY",,,,,,,
235,183,0,"they speak taco, They cant understand you, reporting lc got it, you said zero in the first statement, you english , Get on your own servers retard, at least im doing better than LC   _ ツ _  , REPORT LC, ARCANA TO EVERYONE THAT DOES, sorry pa im not that rich, but fuck LC",,,,,,,
236,183,1,We are,,,,,,,
237,183,2,"is only game, you guys literally have tri top, learn to not overextend in solo lane, with 2, already, you dumb and blind , its pretty dumb you re complaining  you re literally doing the worst on your team and holding them back LC,  C, LOL 0 SUNSTRIKES SHIT INVO, reported, YOU GUYS MUST BE SO THANKFUL TO HAVE THIS AMAZING LC ON YOUR TEAM, not difficult task",,,,,,,
238,183,3,"I want me some arcana, gg sorry about lc",,,,,,,
239,183,4,"i mean he isnt grossly incandescent, but that hardly his fault, remember when legion died 7 times bot and then just kept dying ",,,,,,,
240,183,5,"please, 0 in bot, Reprot lc  haha, gg this shit ",,,,,,,
241,183,9,"Can you guys report lc please, thx bru, First time playing offlane",,,,,,,
242,184,2,please,,,,,,,
243,185,0,w8 2 more sex,,,,,,,
244,185,2,strictly bussiness,,,,,,,
245,185,6,fireworks ,,,,,,,
246,186,0,snipers don come better than this my friends,,,,,,,
247,186,3,COMEND MID ,,,,,,,
248,188,1,"try hard   , so try hard",,,,,,,
249,188,2,hey,,,,,,,
250,188,5,ez game tryhard fucker nice viper no skill hero pick,,,,,,,
251,189,2,COMMEND ALL,,,,,,,
252,189,3,what game,,,,,,,
253,189,4,SEE ME ROLLIN,,,,,,,
254,191,0,am is fine,,,,,,,
255,191,5,teamwipe,,,,,,,
256,192,5,oh really there,,,,,,,
257,194,0,TA EBAL TVOU ROT,,,,,,,
258,194,5,fantastic feed fest,,,,,,,
259,195,5,"Really, this is jsut stupid  im out",,,,,,,
260,197,1,5 5 only mid,,,,,,,
261,199,0,Sex,,,,,,,
262,200,5,f FF,,,,,,,
263,203,5,IT REALLY HAPPENING,,,,,,,
264,204,9,he not invis breh,,,,,,,
265,205,3,now is gg,,,,,,,
266,206,0,Shower,,,,,,,
267,206,8,maswerte may clinckz,,,,,,,
268,207,4,pls report sd  he is russian scim,,,,,,,
269,207,5,Nyestra is life,,,,,,,
270,207,6, Game is Hard,,,,,,,
271,207,7,q oferton ,,,,,,,
272,207,9,shdow demon carry,,,,,,,
273,208,9,"why even try , Weaver",,,,,,,
274,210,5,Worth  ,,,,,,,
275,212,9,baited,,,,,,,
276,215,1,basher void ,,,,,,,
277,215,2,what did he say ,,,,,,,
278,215,4,"this game is joke, fucking account buyer omni, sure but this omni, cant buy single ward, every game he picks omni 5 pos, and just lsoes game, ruins every single game hes in, gg this omni watches too much fucking slacks",,,,,,,
279,215,8,"ty bro, this qop is just ruining the moment, he just dont realize omni is the worst 5 can imagine , nothing",,,,,,,
280,216,3,"he not, why",,,,,,,
281,216,5,"Read he name, 3 8 and 6 9",,,,,,,
282,216,8,"together, hes hero, win this game, but he braindead",,,,,,,
283,216,9,"rofl, they blame me, typical sea, he braindead , rip english",,,,,,,
284,222,1,TOMA TU LIKE POR EL POTO ,,,,,,,
285,226,6,2 piece of shit,,,,,,,
286,226,7,ITS TRAP,,,,,,,
287,227,0,"then what u jug, why blink in to fee, u started it pudge, where u, what happened to your mid , why make am so fat, do need money, come suck my dick, buyer just shit on dude, i rich what, how bout u, thanks poor fagot, radian victory",,,,,,,
288,227,1,"worth , worth , easy, getting destroyed by herald axe, say that when win",,,,,,,
289,227,2,worth ,,,,,,,
290,227,4,"worth , losing to herald bro, at least got money to buy",,,,,,,
291,227,5,dont know how to play your hero am ,,,,,,,
292,227,6,"just wait bitch, really",,,,,,,
293,227,9,why run ,,,,,,,
294,229,9,"get off my dick pudge, u lost 2 towers 2 kill me, morons, rough game",,,,,,,
295,232,5,bots play better know,,,,,,,
296,233,1,Gg east,,,,,,,
297,234,0,insert coin  game over,,,,,,,
298,234,7,Currently In GameDota 2Join Game,,,,,,,
299,235,5,"Dont attack my twrs pls, solo carry team, Best team, they farm all day, buy retard items cant blieve, 0 teamplay, Enjoy ur loss fuc kijng garbage piece of shit, 6 death, 9 death, in game carry 10 0, only, TO FARM MORE, GET CANCERS ALL, ALL HAVE ITEM AHAHHAHAHAHAHAHA, TEAM NO ITEM, I CREATE MORE SPAC THAN IN UNIVERSE, TEAM CANT, RETARD IM LEGEND 5 IDIOT BASTARD NOOB, SHUT THE FUCK UP, AND BE USELESS, can only farm and do noting, cant believe how alch can have item, Team can feed every noob, best team, cant 1on5, unbelievable how people can be so bad to lose thsi game, fucking trash of humanity, nice fair matchmaking, give me the 4 worst players in all of dota, of hp, not one, Not fucking one, Even treads on agi, i cant believe how lowskill and stupid people can be, i was smarter on my 2nd day dota",,,,,,,
300,235,6,"and play, now stfu, he can dmg, u have nothing noob, sucker",,,,,,,
301,236,9,Cooldown ,,,,,,,
302,237,2,of,,,,,,,
303,242,0,cgfcb pf cjxedcndbt,,,,,,,
304,245,4,clock,,,,,,,
305,246,5,dont back,,,,,,,
306,247,0,gg wp comend,,,,,,,
307,247,1,"is there point to these predictions, other than showing off ur winning streak",,,,,,,
308,247,2,"thats all it otok , one curse and you boys run , i dont need 3 people",,,,,,,
309,249,5,that how we roll,,,,,,,
310,254,8,"can just wait  , my god this team, wtf am supposed to do  , report noob team",,,,,,,
311,254,9,fuck this team,,,,,,,
312,257,1,"WHAT THE, WHAT THE",,,,,,,
313,257,5,"he at base, report LS pls thanks",,,,,,,
314,257,7,"end please, Pick pho as offlane rofl, how to win then no one can kill weaver and am",,,,,,,
315,258,3,"destory items, why pick supp pudge",,,,,,,
316,258,9,u can straight top,,,,,,,
317,262,3,fucking pieces of trash,,,,,,,
318,263,0,"is this game serious, this game",,,,,,,
319,263,6,this is undying,,,,,,,
320,264,3,Wtf are you doing,,,,,,,
321,267,0,how often,,,,,,,
322,267,4,"he had hard lane, very hard, you need trilane",,,,,,,
323,267,5,rly hope you report him,,,,,,,
324,267,6,u had so much luck  100  chance for that fucking skill,,,,,,,
325,268,0,En bot,,,,,,,
326,269,7,"monkey blocks my hook said he was going to pick huskar what game , twice get this shitty brood as core ",,,,,,,
327,270,2,cold snap,,,,,,,
328,271,1,"rofl, if know",,,,,,,
329,271,2,pick shaman more,,,,,,,
330,271,7,Do call myself as an allies ,,,,,,,
331,272,4,EZ TRILANE,,,,,,,
332,273,5,"ez predicted pango, too",,,,,,,
333,273,8,dont be worry   we have god father of drug,,,,,,,
334,274,5,REPORT URSA,,,,,,,
335,276,0,"wohohoh huskar commended  D, commend me ty",,,,,,,
336,276,2,team commended but juggernaut,,,,,,,
337,276,3,COMMEND ME  TY,,,,,,,
338,277,1,what sound do you think make when eat cum,,,,,,,
339,277,9,"no sound no mine blows up, OK ICEFRAUD",,,,,,,
340,280,9,"feeed me more, feeed me more, feeed po cd",,,,,,,
341,281,0,report rubick pls,,,,,,,
342,281,4,REPORTA SHAMAN RUBICK   COMEND,,,,,,,
343,282,7,"if you could speak that AM afk or dc would not resume , but those alien signs tell nothing , is that your tawarisz   , what   , he cant farm ",,,,,,,
344,282,8,"sorry bro  it was funny didnt get stun, later it will not be funny for me",,,,,,,
345,286,2,F CK THIS,,,,,,,
346,290,0,"ive never heard of storm mid before tbh, leave them alone, im gonna report ursa for ability abuse",,,,,,,
347,290,2,"look at this line up and honestly say your team was worse, ur right",,,,,,,
348,290,3,"what happened, the picks were fine, did anything except feed lol, sounds good",,,,,,,
349,290,6,"rofl, this fucking ursa try hard",,,,,,,
