id,match,slot,text,Positivity,Team_Work,Sportsmanship,Spam,Toxic,Report_Misuse,Neutral
0,1,0,"twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel, https   www twitch tv rage_channel",,,,1,,,
1,2,0,fast and furious,,,,,,,1
2,2,4,COMMEND ME TY,,,,1,,,
3,3,6,CNHD ,,,,,,,1
4,4,5,report troll,,,,,,,1
5,6,0,passive shadow blade ,,,,,,,
6,6,1,"fucking reported axe, WORST HOOK IN HISTORY, IM THE  1 ROAMER NA, Ty ty , COMMEND ME , COMMAND ME  ",,,,,1,1,
7,6,2,what is the best soup ,,1,,,,,
8,6,8,sorry nex,,1,,,,,
9,6,9,why axe is raping me top ,,1,,,1,0,
10,8,6,"swap commend ty, swap commend ty",,,,1,,,
11,9,3,"what, free farming ls, not coming into play, storm fat yet, U useless anyways, cant seem to hit singel call, better share hero contorl, might start hitting ur Q, he had an, 20mins scythe on od, wants to farm, His orchid",,1,,,1,,
12,9,4,"heartshaker, man that silence on axe",1,,1,,,,
13,9,5,CLASH,,,,,,,1
14,9,7,my storm also cry,,,,,,,1
15,13,0,ty pudge,1,1,1,,,,
16,13,1,bastard party,,,,,,,
17,19,6,3 griefers on my team,,,,,1,,
18,21,9,WELL PLAYED SHIT CUNTS,,,1,,1,,
19,22,0,already since the picking phase,,,,,,,1
20,22,1,"feed me, please dont be trap, EE SAMA IS HERE",,1,,,,,
21,22,6,"happy no cour day , only me ",,,,,,,1
22,24,0,this storm,,,,,,,
23,25,1,CAUSE FO FUCKING HG,,,,,1,,
24,26,5,u wouldhave hit the throne jebaited 2k,,,,,1,,
25,26,7,"why have juger , cant beleive we lsoe this ",,,,,,,
26,27,3,GJNJVE XNJ JL DFC YFT SDFK GJK BUHS,,,,,,,1
27,30,1,fuck off lol,,,,,1,,
28,30,7,and please  don fight  just play and be happy ,1,,1,,,,
29,31,3,"this game, will be year ender, this will be the last game played in 2017",,,,,,,
30,31,4,happy new year,1,,,,,,
31,31,6,happy new year,1,,,,,,
32,31,9,"FCK U, my teammates",,,,,1,,
33,32,5,what luck,,,,,,,
34,32,9,"help report wind ty, pasive thrd , 4 heros were stick, passive heross here, pls pic ksupport, help reprt wind",,,,,,1,
35,33,9,"he is troller, that team",,,,,,,
36,35,8,because have blink ,,,,,,,1
37,36,0,this is kotl from last game  can you just let us finish ,,,,,,,1
38,36,1,cool,1,,,,,,1
39,38,5,"can win with wr support and invoker offlane, report this invoker",,,,,,1,
40,38,6,ty ,1,,,,,,
41,40,0,fking clock,,,,,1,,
42,40,2,"SLOW HAND TINKER, it definitely is gg",,,,,1,,
43,40,3,"counter more, counter more",,1,,,,,
44,40,5,"WTf , rofl",,,,,,,
45,40,6,divine for the win,,,,,,,
46,40,8,rofl,1,,,,,,
47,40,9,why am here,,,,,,,
48,43,3,"what happening boyz  , as you can see we are waiting , I am just asking what happened, how many more x3 mins do we have to wait, you don know how time works, you will have more gold if he leaves, If roll one, now you are lucky",,1,,,,,
49,43,4,"come on try harder, and we wait 5 for now , guys think we wait too much , i know its your fr but ",,1,,,,,
50,43,5,oh why wake me up,,,,,,,
51,43,6,"Dat was lucky, that was more lucky than ur kill   D, u see this fair  ",1,,,,,,
52,43,8,he will ,,,,,,,1
53,45,4,"https   www twitch tv vt_negative, https   www twitch tv vt_negative",,,,1,,,
54,45,8,"report sf and lycan, retard take lycan for hard , second rtard lose lane with help, dont forget report lycan and sf, next game can come to yours team",,,,,,1,
55,48,1,mana shield lvl 1,,,,,,,
56,48,5,"why so hot headed, just by looking at your set you are pro dude",1,,,,,,
57,48,7,wever is so sacred,,1,,,,,
58,51,1,"000000000 5   NICE FEDD, THIS SK OFF, NICE FEDDDD, SACRED RELIC SPECTRE  TY  SK, fED FED FED SK , fED FED ",,,,,1,,
59,51,2,commend team,,,,1,,,
60,51,4,REPORT TORO,,,,,,1,
61,51,5,turn off ur map hacks,,,,,,,
62,51,6,"who afk, this ES",,,,,,,1
63,52,3,"21 death, is it olympic games ",,,,,1,,
64,52,6,im suprised you havnt left already bristle,,,,,1,,
65,56,3,EWND TI,,,,,,,1
66,56,6,WHAT THE ACTUAL FUCK,,,,,1,,
67,63,8,china fire wall  ,,,,,,,
68,63,9,guys wtf is up,,,,,1,,
69,65,0,"report sf pleae, report sf pleeaes, please report sf ",,,,1,,1,
70,65,7,"really , why me    , that bug",,,,,,,
